t,T,S,o,h,l,c,v,n,vw,position,trading_action,current_capital,stop_loss_out_signal,open_small_indicator,open_big_indicator
2023-11-15T20:37:00Z,b,AAPL,188.51,188.535,188.48,188.53,1544,21,188.516723,out,no_action,0.0,no_stop_loss_out_signal,,
2023-11-15T20:38:00Z,b,AAPL,188.53,188.53,188.44,188.48,1702,24,188.476686,,,,,,
2023-11-15T20:39:00Z,b,AAPL,188.475,188.475,188.43,188.45,2101,26,188.451414,,,,,,
2023-11-15T20:40:00Z,b,AAPL,188.41,188.42,188.325,188.35,4063,49,188.358355,,,,,,
2023-11-15T20:41:00Z,b,AAPL,188.345,188.35,188.285,188.345,2120,34,188.324387,,,,,,
2023-11-15T20:42:00Z,b,AAPL,188.37,188.42,188.36,188.38,2915,33,188.389859,,,,,-0.02800000000002001,
2023-11-15T20:43:00Z,b,AAPL,188.31,188.32,188.27,188.27,1371,20,188.292739,,,,,-0.04399999999998272,
2023-11-15T20:44:00Z,b,AAPL,188.245,188.25,188.135,188.19,3701,48,188.165151,,,,,-0.04599999999999227,
2023-11-15T20:45:00Z,b,AAPL,188.19,188.19,188.14,188.145,1303,25,188.154068,,,,,-0.04400000000001114,
2023-11-15T20:46:00Z,b,AAPL,188.135,188.18,188.12,188.175,7035,41,188.156983,,,,,-0.04200000000000159,
2023-11-15T20:47:00Z,b,AAPL,188.175,188.185,188.135,188.155,8861,53,188.159718,,,,,-0.03899999999998727,
2023-11-15T20:48:00Z,b,AAPL,188.17,188.22,188.08,188.08,3938,50,188.141686,out,,,,-0.027999999999991587,
2023-11-15T20:49:00Z,b,AAPL,188.12,188.12,187.95,187.96,4398,47,188.014934,out,no_action,27675.69,,-0.025000000000005684,-0.03249999999999886
2023-11-15T20:50:00Z,b,AAPL,187.95,187.95,187.785,187.84,6656,84,187.882941,out,no_action,27675.69,,-0.04800000000003024,-0.048333333333317796
2023-11-15T20:51:00Z,b,AAPL,187.88,187.98,187.87,187.89,6690,71,187.935696,out,no_action,27675.69,,-0.05099999999998772,-0.04958333333331666
2023-11-15T20:52:00Z,b,AAPL,187.885,187.96,187.88,187.93,3635,42,187.923374,out,no_action,27675.69,,-0.058000000000021146,-0.043750000000045475
2023-11-15T20:53:00Z,b,AAPL,187.94,187.98,187.91,187.91,2172,31,187.958186,out,no_action,27675.69,,-0.04599999999999227,-0.033749999999997726
2023-11-15T20:54:00Z,b,AAPL,187.89,188.0,187.88,187.915,13608,121,187.940309,out,no_action,27675.69,,-0.04599999999999227,-0.03999999999999204
2023-11-15T20:55:00Z,b,AAPL,187.885,187.935,187.84,187.935,9058,112,187.896418,out,no_action,27675.69,,-0.012999999999976808,-0.035416666666634455
2023-11-15T20:56:00Z,b,AAPL,187.905,188.165,187.9,188.115,21570,168,188.07863,out,no_action,27675.69,,0.0049999999999954525,-0.028333333333364408
2023-11-15T20:57:00Z,b,AAPL,188.1,188.11,188.035,188.045,11154,160,188.070203,out,no_action,27675.69,,0.043000000000006366,-0.007499999999964757
