timestamp,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,tape,symbol
2023-11-17 09:30:12.583840+00:00,K,9.85,1.0,Q,9.81,6.0,C,MARA
2023-11-17 09:30:38.365460+00:00,Q,9.82,4.0,Q,9.81,6.0,C,MARA
2023-11-17 09:30:59.969011+00:00,Q,9.82,4.0,Q,9.81,5.0,C,MARA
2023-11-17 09:30:59.970196+00:00,Q,9.82,3.0,Q,9.81,5.0,C,MARA
2023-11-17 09:31:13.752144+00:00,K,9.85,1.0,Q,9.81,5.0,C,MARA
2023-11-17 09:31:13.761453+00:00,P,9.84,3.0,Q,9.81,5.0,C,MARA
2023-11-17 09:32:03.257283+00:00,P,9.84,3.0,P,9.82,1.0,C,MARA
2023-11-17 09:32:10.427712+00:00,P,9.84,3.0,Q,9.81,5.0,C,MARA
2023-11-17 09:32:53.330293+00:00,P,9.84,3.0,K,9.8,10.0,C,MARA
2023-11-17 09:32:53.331163+00:00,P,9.84,3.0,Q,9.82,5.0,C,MARA
2023-11-17 09:32:53.331576+00:00,P,9.84,3.0,K,9.8,10.0,C,MARA
2023-11-17 09:33:17.370434+00:00,K,9.85,1.0,K,9.8,10.0,C,MARA
