t,S,o,h,l,c,v,n,vw,T,position,trading_action,current_capital,stop_loss_out_signal,c_small_ind_col,c_big_ind_col
2023-11-03T19:31:00Z,TSLA,219.18,219.2699,219.13,219.26,132725.0,1454.0,219.197001,b,out,no_action,-4.55,no_stop_loss_out_signal,,
2023-11-03T19:32:00Z,TSLA,219.23,219.3965,218.95,218.9745,266303.0,2273.0,219.164846,b,out,no_action,-4.55,no_stop_loss_out_signal,,
2023-11-03T19:33:00Z,TSLA,218.95,219.13,218.92,219.09,221880.0,1745.0,219.00612,b,out,no_action,-4.55,no_stop_loss_out_signal,,
2023-11-03T19:34:00Z,TSLA,219.08,219.12,218.65,218.69,344220.0,2981.0,218.843885,b,out,no_action,-4.55,no_stop_loss_out_signal,-0.1899999999999693,
2023-11-03T19:35:00Z,TSLA,218.68,218.83,218.67,218.7801,201528.0,1660.0,218.740429,b,out,no_action,-4.55,no_stop_loss_out_signal,-0.06480000000004793,
2023-11-03T19:36:00Z,TSLA,218.79,218.95,218.77,218.79,192034.0,1700.0,218.874025,b,out,no_action,-4.55,no_stop_loss_out_signal,-0.0999999999999659,
2023-11-03T19:37:00Z,TSLA,218.79,218.93,218.77,218.92,152089.0,1417.0,218.871268,b,out,no_action,-4.55,no_stop_loss_out_signal,0.07666666666665378,
2023-11-03T19:38:00Z,TSLA,218.915,218.97,218.8,218.8554,179960.0,1705.0,218.888115,b,out,no_action,-4.55,no_stop_loss_out_signal,0.025100000000009004,
2023-11-03T19:39:00Z,TSLA,218.85,218.9756,218.81,218.97,180487.0,1634.0,218.895713,b,out,no_action,-4.55,no_stop_loss_out_signal,0.060000000000002274,
2023-11-03T19:40:00Z,TSLA,218.98,219.12,218.97,219.0601,239205.0,2145.0,219.03837,b,out,no_action,-4.55,no_stop_loss_out_signal,0.046699999999987085,
2023-11-03T19:41:00Z,TSLA,219.08,219.11,218.8301,218.8301,221813.0,2101.0,218.98101,b,out,no_action,-4.55,no_stop_loss_out_signal,-0.008433333333329074,
2023-11-03T19:42:00Z,TSLA,218.8305,218.9499,218.7301,218.74,260554.0,2342.0,218.84012,b,,no_action,-4.55,no_stop_loss_out_signal,-0.07666666666662536,
2023-11-03T19:57:00Z,TSLA,219.9,220.0,219.9,219.94,3402.0,74.0,219.93006,b,,buy_next_long_position,-4.55,,0.2932999999999595,0.05666666666667197
2023-11-03T19:58:00Z,TSLA,219.92,219.92,219.77,219.79,4873.0,142.0,219.846509,b,long,buy_next_long_position,-4.55,,0.31996666666668716,0.06795833333330847
